_id,NAME,ROUTE NO,DISTRICT,HOW NAMED,FROM,TO
171,Golden State Freeway,5,7,"MTEB, 2/28/58",Junction I-5 & I-10 & Route 60 & Route 101,Route 14
172,"Correctional Officer Manuel A. Gonzalez, Jr. Memorial Highway",71,"7, 8","SCR 11, CH 85, 2007",Route 60,Central Avenue/Soquel Canyon
173,Officer James M. Goodman Memorial Highway,10,8,"ACR 41, CH 72, 2007",Post Mile 25.26,Post Mile 29.82
174,California Highway Patrol Officer Charles D. Goss Memorial Highway,152,6,"ACR 89, CH 122, 2022",Postmile 2.350,Postmile 7.350
175,Grand Army of the Republic Highway ,"110, 5, 14, 395, 6","7, 6, 9","ACR 33, CH 73, 1943",San Pedro,"Nevada State Line, via Mojave"
176,Deputy David P. Grant Memorial Highway,49,10,"ACR 132, CH 105, 2006",One mile before Parrott's Ferry Road,One mile after Parrott's Ferry Road
177,Deputy David G. Graves Memorial Freeway,41,6,"ACR 61, CH 90, 2009",Herndon Ave,Avenue 10
178,Officer Stephan Gene Gray Memorial Highway,99,10,"SCR 7, CH 56, 2006",Childs Avenue,16th Steet
179,Great Sierra Wagon Road,120,9,"AB 302, CH 306, 1915",East Boundary of Yosemite National Park,Route 395
180,Greatest Generation Memorial Highway,63,6,"ACR 36, CH 78, 2009",West Visalia Parkway,Avenue 264
181,CHP Officer Scott M. Greenly Memorial Freeway,85,4,"ACR 172, CH 140, 1998",Quito Road,Prospect Road
182,CHP Officer Kirk Griess Memorial Highway,505,4,"ACR 4, CH 105, 2019",Junction of Interstate 80 (PM R0.000),Vaca Valley Parkway (PM R1.450)
183,Grove-Shafter Freeway,980,4,"By Location, mentioned in ACR 116, CH 233, 1961",I-880,I-580
184,Tony Gwynn Memorial Freeway,15,11,"ACR 63, CH 168, 2015",SCRIPPS POWAY PKWY/MERCY ROAD - PM M17.311,CAMINO DEL NORTE UC# 57-930 - PM M21.952
185,Harvey L. Hall Memorial Highway,58,6,"ACR 64, CH 138, 2021",EB OFF to Allen Road (PM R45.181),EB OFF to Coffe Road (PM R48.268)
